[2026-01-14 10:37:45] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\《技术服务合同》解除协议.pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:37:46] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\在金融气象服务工作推进会上的发言稿 (1).wps | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\在金融气象服务工作推进会上的发言稿 (1).wps'
[2026-01-14 10:37:46] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\在金融气象服务工作推进会上的发言稿.wps | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\在金融气象服务工作推进会上的发言稿.wps'
[2026-01-14 10:37:46] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\天气汇报材料.doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\天气汇报材料.doc'
[2026-01-14 10:37:47] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\郑州市市场监督管理局信息公开申请表.doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\郑州市市场监督管理局信息公开申请表.doc'
[2026-01-14 10:37:47] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\附件1：大连品交易所线型低密度聚乙烯月均价期货合约和大连商品交易所线型低密度聚乙烯月均价期货业务细则 (1).doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\附件1：大连品交易所线型低密度聚乙烯月均价期货合约和大连商品交易所线型低密度聚乙烯月均价期货业务细则 (1).doc'
[2026-01-14 10:37:48] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250728__未识别标题_.doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250728__未识别标题_.doc'
[2026-01-14 10:37:48] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250801__未识别标题_.doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250801__未识别标题_.doc'
[2026-01-14 10:37:48] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\其他\20251029__未识别标题_(1).wps | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\其他\20251029__未识别标题_(1).wps'
[2026-01-14 10:37:48] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\其他\20251029__未识别标题_.wps | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\其他\20251029__未识别标题_.wps'
[2026-01-14 10:37:48] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\其他\20251225__未识别标题_.doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\其他\20251225__未识别标题_.doc'
[2026-01-14 10:37:48] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\其他\2025122620251226160728(1).pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:37:50] CAJ提取失败: D:\BaiduSyncdisk\2025\研究\合约设计\参考资料\其他参考资料\20250730__未识别标题_.caj | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:37:54] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\参考资料\其他参考资料\20250811__未识别标题_.pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:37:56] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\参考资料\其他参考资料\20251114__未识别标题_.pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:37:56] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\参考资料\其他参考资料\20251124__未识别标题_.pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:37:56] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\参考资料\其他参考资料\20251226__未识别标题_(1).pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:37:56] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\参考资料\其他参考资料\20251226__未识别标题_.pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:37:56] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\参考资料\合同\20251229__未识别标题_.pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:38:56] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\20160815172714913.doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\20160815172714913.doc'
[2026-01-14 10:38:57] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\20250811173536.pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:38:57] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\20251124105822.pdf | Unable to get page count. Is poppler installed and in PATH?
